
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 10% In Plastic Container, Injection, 100 g/1000 mL (NDC 0338-0023-02)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 10% In Plastic Container, Injection, 100 g/1000 mL (NDC 0338-0023-03)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 10% In Plastic Container, Injection, 100 g/1000 mL (NDC 0338-0023-04)","Revised","06/21/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 10 g/100 mL (NDC 0264-7520-00)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 10 g/100 mL (NDC 0264-7520-10)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 10 g/100 mL (NDC 0264-7520-20)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-74)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-75)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-76)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7930-02)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7930-02)","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7930-03)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7930-03","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7930-09)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7930-09","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7938-19)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7938-19","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate, Lidocaine Hydrochloride Anhydrous Injection","B. Braun Medical Inc.","800-227-2862","Lidocaine Hydrochloride And Dextrose, Injection, 5 g/100 mL; .8 g/100 mL (NDC 0264-9598-20)","Reverified","07/16/2024","Available","","","","Cardiovascular","Current","","","10/25/2017","","","","","","",""
"Dextrose Monohydrate, Lidocaine Hydrochloride Anhydrous Injection","B. Braun Medical Inc.","800-227-2862","Lidocaine Hydrochloride And Dextrose, Injection, 5 g/100 mL; .4 g/100 mL (NDC 0264-9594-20)","Reverified","07/16/2024","Available","","","","Cardiovascular","Current","","","10/25/2017","","","","","","",""
"Dextrose Monohydrate, Lidocaine Hydrochloride Anhydrous Injection","B. Braun Medical Inc.","800-227-2862","Lidocaine Hydrochloride And Dextrose, Injection, 5 g/100 mL; .4 g/100 mL (NDC 0264-9594-10)","Reverified","07/16/2024","Available","","","","Cardiovascular","Current","","","10/25/2017","","","","","","",""
"Diazepam Gel","Bausch Health Americas, Inc.","908-927-1400","Gel, 10 mg/2 mL (NDC 68682-652-20)","Revised","04/19/2024","","","Available","","Neurology","Resolved","04/19/2024","","06/15/2022","","","","","","",""
"Diazepam Gel","Bausch Health Americas, Inc.","908-927-1400","Gel, 2.5 mg/.5 mL (NDC 68682-650-20)","Revised","04/19/2024","","","Available","","Neurology","Resolved","04/19/2024","","06/15/2022","","","","","","",""
"Diazepam Gel","Bausch Health Americas, Inc.","908-927-1400","Gel, 20 mg/4 mL (NDC 68682-655-20)","Revised","04/19/2024","","","Available","","Neurology","Resolved","04/19/2024","","06/15/2022","","","","","","",""
"Diazepam Gel","Lupin Pharmaceuticals, Inc.","908-603-6000","Gel, 10 mg/2 g (NDC 43386-280-01)","Revised","04/19/2024","","","Available","","Neurology","Resolved","04/19/2024","","11/06/2023","","","","","","",""
"Diazepam Gel","Lupin Pharmaceuticals, Inc.","908-603-6000","Gel, 20 mg/4 g (NDC 43386-281-01)","Revised","04/19/2024","","","Available","","Neurology","Resolved","04/19/2024","","11/06/2023","","","","","","",""
"Difluprednate Emulsion","Amneal Pharmaceuticals","866-525-7270","Difluprednate Ophthalmic Emulsion, Emulsion, .5 mg/1 mL (NDC 69238-1380-3)","Revised","04/24/2024","","","Available","","Ophthalmology","Resolved","04/24/2024","","12/21/2022","","","","","","",""
"Difluprednate Emulsion","Sandoz Inc.","800-525-8747","Durezol, Emulsion, .5 mg/1 mL (NDC 0078-0862-25)","Revised","04/24/2024","","","Available","","Ophthalmology","Resolved","04/24/2024","","12/21/2022","","","","","","",""
"Difluprednate Emulsion","Sandoz Inc.","800-525-8747","Durezol, Emulsion, .5 mg/1 mL (NDC 0781-6000-78)","Revised","04/24/2024","","","Available","","Ophthalmology","Resolved","04/24/2024","","12/21/2022","","","","","","",""
"Difluprednate Emulsion","Cipla Limited","844-247-5287","Emulsion, .5 mg/1 mL (NDC 69097-341-35)","Revised","04/24/2024","","","Available","","Ophthalmology","Resolved","04/24/2024","","12/21/2022","","","","","","",""
"Digoxin Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Digoxin Injection, USP, Injection, .25 mg/1 mL (NDC 0641-1410-35)","Revised","05/02/2024","","","Available","","Cardiovascular","Resolved","05/02/2024","","06/04/2021","","","","","","",""
"Digoxin Injection","Sandoz Inc.","800-525-8747","Injection, 250 ug/1 mL (NDC 0781-3059-95)","Revised","05/02/2024","","","Available","","Cardiovascular","Resolved","05/02/2024","","06/04/2021","","","","","","",""
"Digoxin Injection","Covis Pharma","913-661-3814","Lanoxin, Injection, 250 ug/1 mL (NDC 70515-260-10)","Revised","05/02/2024","","","Available","","Cardiovascular","Resolved","05/02/2024","","06/04/2021","","","","","","",""
"Digoxin Injection","Covis Pharma","913-661-3814","Lanoxin, Injection, 250 ug/1 mL (NDC 70515-261-10)","Revised","05/02/2024","","","Available","","Cardiovascular","Resolved","05/02/2024","","06/04/2021","","","","","","",""
"Digoxin Injection","Covis Pharma","913-661-3814","Lanoxin, Injection, 100 ug/1 mL (NDC 70515-262-10)","Revised","05/02/2024","","","Available","","Cardiovascular","Resolved","05/02/2024","","06/04/2021","","","","","","",""
"Digoxin Injection","Covis Pharma","913-661-3814","Lanoxin, Injection, 100 ug/1 mL (NDC 70515-263-10)","Revised","05/02/2024","","","Available","","Cardiovascular","Resolved","05/02/2024","","06/04/2021","","","","","","",""
"Diltiazem Hydrochloride Injection","Sagent Pharmaceuticals","866-625-1618","Injection, 5 mg/1 mL (NDC 70860-301-05)","Reverified","05/22/2024","","","","","Cardiovascular","Resolved","05/22/2024","","02/21/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Sagent Pharmaceuticals","866-625-1618","Injection, 5 mg/1 mL (NDC 70860-301-10)","Reverified","05/22/2024","","","","","Cardiovascular","Resolved","05/22/2024","","02/21/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Sagent Pharmaceuticals","866-625-1618","Injection, 5 mg/1 mL (NDC 70860-301-25)","Reverified","05/22/2024","","","","","Cardiovascular","Resolved","05/22/2024","","02/21/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Diltiazem Hydrochloride, Injection, 100 mg (NDC 0409-4350-03)","Revised","05/22/2024","","","","","Cardiovascular","Resolved","05/22/2024","","02/21/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Injection, 5 mg/1 mL (NDC 0641-6013-10)","Revised","05/22/2024","","","","","Cardiovascular","Resolved","05/22/2024","","03/01/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Injection, 5 mg/1 mL (NDC 0641-6014-10)","Revised","05/22/2024","","","","","Cardiovascular","Resolved","05/22/2024","","03/01/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Injection, 5 mg/1 mL (NDC 0641-6015-10)","Revised","05/22/2024","","","","","Cardiovascular","Resolved","05/22/2024","","03/01/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Eugia US LLC","888-238-7880","Injection, 125mg/ 25mL (NDC 55150-427-10)","Reverified","08/05/2024","Available","Check wholesalers for inventory","","","Cardiovascular","Current","","","02/21/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Eugia US LLC","888-238-7880","Injection, 25mg/ 5mL (NDC 55150-425-10)","Reverified","08/05/2024","Unavailable","On backorder. Recovery: TBD. Check wholesalers for inventory","","Demand increase for the drug","Cardiovascular","Current","","","02/21/2018","","","","","","",""
"Diltiazem Hydrochloride Injection","Eugia US LLC","888-238-7880","Injection, 50mg/10mL (NDC 55150-426-10)","Reverified","08/05/2024","Available","Check wholesalers for inventory","","","Cardiovascular","Current","","","02/21/2018","","","","","","",""
"Disopyramide Phosphate Capsule","Pfizer Inc.","800-533-4535","Capsule, Norpace CR, 100 mg Extended Release (NDC 0025-2732-31)","Revised","06/04/2024","","","Available; Greenstone brand (NDC 59762-0386-1 and NDC 59762-0400-1) marketed by Viatris","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Pfizer Inc.","800-533-4535","Capsule, Norpace CR, 150 mg Extended Release (NDC 0025-2742-31)","Revised","06/04/2024","","","Available; Greenstone brand (NDC 59762-0386-1 and NDC 59762-0400-1) marketed by Viatris","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Pfizer Inc.","800-533-4535","Capsule, Norpace IR, 100 mg (NDC 0025-2752-31)","Revised","06/04/2024","","","Available; Greenstone brand (NDC 59762-0386-1 and NDC 59762-0400-1) marketed by Viatris","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Pfizer Inc.","800-533-4535","Capsule, Norpace IR, 150 mg  (NDC 0025-2762-31)","Revised","06/04/2024","","","Available; Greenstone brand (NDC 59762-0386-1 and NDC 59762-0400-1) marketed by Viatris","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Pfizer Inc.","800-533-4535","Capsule, 100 mg (NDC 59762-0386-1)","Revised","06/04/2024","","","Available; Greenstone brand (NDC 59762-0386-1 and NDC 59762-0400-1) marketed by Viatris","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Pfizer Inc.","800-533-4535","Capsule, 150 mg (NDC 59762-0400-1)","Revised","06/04/2024","","","Available; Greenstone brand (NDC 59762-0386-1 and NDC 59762-0400-1) marketed by Viatris","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Teva Pharmaceuticals USA, Inc.","800-545-8800","Capsule, 100 mg (NDC 0093-3127-01)","Revised","06/04/2024","","","Available","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Teva Pharmaceuticals USA, Inc.","800-545-8800","Capsule, 150 mg (NDC 0093-3129-01)","Revised","06/04/2024","","","Available","","Cardiovascular","Resolved","06/04/2024","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Dr. Reddy's Laboratories, Inc.","866-732-3952","Capsule, 100 mg (NDC 51862-095-01)","Revised","06/04/2024","","","Available. Marketed by Mayne Pharmaceuticals.","","Cardiovascular","Resolved","","","03/19/2021","","","","","","",""
"Disopyramide Phosphate Capsule","Dr. Reddy's Laboratories, Inc.","866-732-3952","Capsule, 150 mg (NDC 51862-096-01)","Revised","06/04/2024","","","Available. Marketed by Mayne Pharmaceuticals.","","Cardiovascular","Resolved","","","03/19/2021","","","","","","",""
"Disulfiram Tablet","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Tablet, 500 mg (NDC 0054-0357-25)","New","11/02/2023","","","","Discontinuation of the manufacture of the drug","Analgesia/Addiction","To Be Discontinued","","11/02/2023","11/02/2023","","","","","","",""
"Disulfiram Tablet","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Tablet, 500 mg (NDC 0054-0357-13)","New","11/02/2023","","","","Discontinuation of the manufacture of the drug","Analgesia/Addiction","To Be Discontinued","","11/02/2023","11/02/2023","","","","","","",""
"Disulfiram Tablet","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Tablet, 250 mg (NDC 0054-0356-25)","New","11/02/2023","","","","Discontinuation of the manufacture of the drug","Analgesia/Addiction","To Be Discontinued","","11/02/2023","11/02/2023","","","","","","",""
"Disulfiram Tablet","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Tablet, 250 mg (NDC 0054-0356-13)","New","11/02/2023","","","","Discontinuation of the manufacture of the drug","Analgesia/Addiction","To Be Discontinued","","11/02/2023","11/02/2023","","","","","","",""
